	Feature	Coefficient
1932	msp_2845	0.0
1926	msp_2832	0.0
1925	msp_2831	0.0
925	msp_1045	0.0
950	msp_1072	0.0
930	msp_1050	0.0
932	msp_1052	0.0
1912	msp_2793	0.0
1908	msp_2769	0.0
938	msp_1059c	0.0
1907	msp_2743	0.0
1906	msp_2732	0.0
943	msp_1064	0.0
909	msp_1023	0.0
1939	msp_2858	0.0
1942	msp_2863	0.0
905	msp_1018	0.0
868	msp_0973	0.0
1988	msp_2946	0.0
1976	msp_2929	0.0
878	msp_0984	0.0
881	msp_0987	0.0
1965	msp_2913	0.0
882	msp_0988	0.0
1961	msp_2904	0.0
1957	msp_2890	0.0
1952	msp_2884	0.0
890	msp_1002	0.0
892	msp_1004	0.0
1947	msp_2874	0.0
895	msp_1007	0.0
896	msp_1008	0.0
898	msp_1010	0.0
903	msp_1016	0.0
945	msp_1067	0.0
951	msp_1074	0.0
1013	msp_1149	0.0
1842	msp_2581	0.0
991	msp_1124	0.0
1868	msp_2632	0.0
1865	msp_2628	0.0
1861	msp_2620	0.0
1857	msp_2611	0.0
1856	msp_2607	0.0
1	msp_0002	0.0
999	msp_1133	0.0
1001	msp_1135	0.0
1901	msp_2720	0.0
1136	msp_1313	0.0
1822	msp_2544	0.0
1820	msp_2540	0.0
1818	msp_2536	0.0
1005	msp_1140	0.0
1006	msp_1141	0.0
1812	msp_2523	0.0
1811	msp_2520	0.0
1869	msp_2633	0.0
990	msp_1123	0.0
1870	msp_2635	0.0
986	msp_1117	0.0
1900	msp_2719	0.0
1890	msp_2688	0.0
1887	msp_2680	0.0
1883	msp_2668	0.0
966	msp_1095	0.0
1876	msp_2647	0.0
1874	msp_2645	0.0
1873	msp_2643	0.0
1872	msp_2639	0.0
970	msp_1099c	0.0
975	msp_1104	0.0
976	msp_1106	0.0
978	msp_1109	0.0
979	msp_1110	0.0
981	msp_1112	0.0
982	msp_1113c	0.0
985	msp_1116	0.0
1132	msp_1309	0.0
1682	msp_2313	0.0
1138	msp_1317	0.0
1140	msp_1320c	0.0
867	msp_0972	0.0
1490	msp_1903	0.0
1340	msp_1614	0.0
1488	msp_1898	0.0
1487	msp_1894	0.0
1342	msp_1618	0.0
1485	msp_1892	0.0
1345	msp_1624	0.0
1348	msp_1629	0.0
1484	msp_1889	0.0
1351	msp_1637	0.0
1356	msp_1646	0.0
1357	msp_1647	0.0
1358	msp_1648	0.0
1483	msp_1888	0.0
1360	msp_1650	0.0
1482	msp_1887	0.0
1363	msp_1654	0.0
1481	msp_1885	0.0
1494	msp_1910	0.0
1495	msp_1912	0.0
1335	msp_1607c	0.0
1307	msp_1559c	0.0
1292	msp_1539	0.0
