	Feature	Coefficient
580	msp_0635	0.00021511140760429798
206	msp_0222	0.00020742073472926448
1756	msp_2420	0.0001987828034389314
1051	msp_1198	0.00019726791440819258
179	msp_0192	0.0001971283003352495
583	msp_0638	0.00018946141020108594
942	msp_1063c	0.00018941836608361807
613	msp_0671	0.00018589219271493356
1198	msp_1397c	0.0001855405575498235
1690	msp_2329	0.00017662984846621193
1278	msp_1519	0.00017565218052190666
137	msp_0146c	0.0001735187272906559
39	msp_0042	0.00016742108597843112
1052	msp_1200	0.00016627210491218644
1800	msp_2502	0.00016506253559442715
839	msp_0939	0.0001612977996448819
458	msp_0498	0.00014564700024109406
260	msp_0278	0.00014537661313693536
958	msp_1085	0.00014526766290872984
1863	msp_2623	0.00014426393992306958
252	msp_0270	0.0001414109575816328
818	msp_0911	0.0001408609679835164
530	msp_0578	0.00013464485716981707
1570	msp_0715c	0.00013041541462433404
89	msp_0095	0.00012149232198062507
94	msp_0100	0.00011994660831075582
500	msp_0546	0.00011920996927475517
893	msp_1005	0.00011750956750010233
995	msp_1128	0.0001148912856642256
1587	msp_1702	0.00011469279488766099
42	msp_0045	0.00011245370475594767
437	msp_0472	0.00010931142467164596
274	msp_0296	0.00010474077273238881
1004	msp_1139	0.00010313082952267091
962	msp_1090	0.0001011213172211204
273	msp_0294	0.00010095345758304842
864	msp_0967	0.00010021754198650619
1923	msp_2829	9.748101521368353e-05
921	msp_1041	9.741563449526643e-05
1304	msp_1556	9.63528601621611e-05
378	msp_0409	9.627024898524453e-05
221	msp_0238	9.538627085217661e-05
1730	msp_2381	9.394305659469549e-05
1805	msp_2511	9.311693989284366e-05
1938	msp_2854	8.985426887243804e-05
1761	msp_2427	8.942466916220101e-05
733	msp_0811	8.367945272126779e-05
581	msp_0636	8.291332560140197e-05
334	msp_0361	8.289163560457601e-05
460	msp_0500	7.958268264287236e-05
755	msp_0837	7.733670542229709e-05
243	msp_0260	7.69162902051982e-05
270	msp_0290	7.260476250529889e-05
987	msp_1118	7.171365958049334e-05
1893	msp_2694	6.884902393628572e-05
883	msp_0990	6.191335731405295e-05
1651	msp_2269	6.153542820588287e-05
691	msp_0765	6.002899172360857e-05
177	msp_0190	5.9815629419373185e-05
383	msp_0414	5.915334992342418e-05
290	msp_0314	5.851549063389401e-05
1949	msp_2881	5.5934254154856025e-05
812	msp_0904	5.5491545645367296e-05
917	msp_1033	5.495060490124182e-05
1964	msp_2912	5.2294800357880934e-05
642	msp_0705	4.86750111812254e-05
1650	msp_2268	4.664148432612357e-05
682	msp_0756	4.6298301171128756e-05
1772	msp_2442	4.2915046262673364e-05
889	msp_1001	3.9653369594010536e-05
1219	msp_1428	3.330512279264031e-05
416	msp_0451	2.453821836193528e-05
768	msp_0851	2.0384104672730844e-05
1273	msp_1511c	1.8730093367651e-05
1777	msp_2453	1.8612788588635094e-05
1577	msp_1156	1.8242204462825633e-05
1903	msp_2726	1.3791153178633202e-05
651	msp_0719	1.180148879511299e-05
1044	msp_1188	1.0944323232760057e-05
1162	msp_1351	8.347282184261426e-06
1440	msp_1784	6.960880388734681e-06
1169	msp_1359	0.0
892	msp_1004	0.0
1043	msp_1187	0.0
951	msp_1074	0.0
1055	msp_1203	0.0
1011	msp_1146	0.0
1006	msp_1141	0.0
1007	msp_1142	0.0
1173	msp_1363	0.0
950	msp_1072	0.0
890	msp_1002	0.0
1050	msp_1197	0.0
1015	msp_1151	0.0
1164	msp_1354	0.0
1056	msp_1204	0.0
1013	msp_1149	0.0
1018	msp_1157	0.0
1176	msp_1366	0.0
1022	msp_1161	0.0
1028	msp_1167	0.0
888	msp_0998	0.0
1025	msp_1164	0.0
1201	msp_1400	0.0
1030	msp_1170	0.0
1032	msp_1172	0.0
1034	msp_1175	0.0
1199	msp_1398	0.0
1023	msp_1162	0.0
1196	msp_1395	0.0
1195	msp_1393	0.0
1192	msp_1387	0.0
1041	msp_1184	0.0
1189	msp_1382	0.0
1187	msp_1380	0.0
1984	msp_2942	0.0
1185	msp_1378	0.0
1183	msp_1376	0.0
1182	msp_1374	0.0
1179	msp_1370	0.0
1160	msp_1348	0.0
1178	msp_1369	0.0
1177	msp_1367	0.0
960	msp_1088	0.0
1005	msp_1140	0.0
911	msp_1026	0.0
1059	msp_1209	0.0
986	msp_1117	0.0
909	msp_1023	0.0
985	msp_1116	0.0
1118	msp_1288	0.0
938	msp_1059c	0.0
1116	msp_1286	0.0
1113	msp_1283	0.0
925	msp_1045	0.0
1111	msp_1280	0.0
1109	msp_1276	0.0
1075	msp_1231	0.0
1106	msp_1271	0.0
1076	msp_1232	0.0
1989	msp_2947	0.0
1077	msp_1235	0.0
975	msp_1104	0.0
976	msp_1106	0.0
982	msp_1113c	0.0
932	msp_1052	0.0
1100	msp_1262	0.0
1098	msp_1259c	0.0
914	msp_1030	0.0
931	msp_1051	0.0
1081	msp_1239	0.0
981	msp_1112	0.0
978	msp_1109	0.0
979	msp_1110	0.0
1088	msp_1247	0.0
1119	msp_1290	0.0
1988	msp_2946	0.0
1158	msp_1345c	0.0
972	msp_1101	0.0
1002	msp_1137	0.0
966	msp_1095	0.0
1982	msp_2940	0.0
896	msp_1008	0.0
1083	msp_1241	0.0
1061	msp_1211	0.0
943	msp_1064	0.0
898	msp_1010	0.0
1148	msp_1332	0.0
1001	msp_1135	0.0
1065	msp_1217	0.0
999	msp_1133	0.0
1145	msp_1328	0.0
1143	msp_1324	0.0
1141	msp_1322	0.0
903	msp_1016	0.0
1140	msp_1320c	0.0
1138	msp_1317	0.0
1072	msp_1227c	0.0
1074	msp_1230	0.0
970	msp_1099c	0.0
1132	msp_1309	0.0
930	msp_1050	0.0
1130	msp_1307	0.0
991	msp_1124	0.0
990	msp_1123	0.0
1128	msp_1304	0.0
945	msp_1067	0.0
1906	msp_2732	0.0
1207	msp_1408	0.0
1212	msp_1417	0.0
1547	msp_2078	0.0
1548	msp_2111	0.0
1549	msp_2127	0.0
1550	msp_2133	0.0
1551	msp_2142	0.0
1552	msp_2159	0.0
1553	msp_2165	0.0
1554	msp_2169	0.0
1555	msp_2176	0.0
1557	msp_2209	0.0
1975	msp_2928	0.0
1974	msp_2927	0.0
1595	msp_1794	0.0
1971	msp_2923	0.0
1965	msp_2913	0.0
1610	msp_2222	0.0
1631	msp_2246	0.0
1641	msp_2258	0.0
1642	msp_2259	0.0
1648	msp_2266	0.0
1654	msp_2272	0.0
1656	msp_2274	0.0
1661	msp_2282	0.0
1546	msp_2074	0.0
1545	msp_2066	0.0
1544	msp_2054	0.0
1523	msp_1956	0.0
1500	msp_1922	0.0
1504	msp_1929	0.0
1509	msp_1934	0.0
1510	msp_1935	0.0
1511	msp_1936	0.0
1512	msp_1938	0.0
1513	msp_1939	0.0
1514	msp_1940	0.0
1515	msp_1941	0.0
1516	msp_1942	0.0
1525	msp_1968	0.0
1543	msp_2053	0.0
1526	msp_1970	0.0
1528	msp_1975	0.0
1529	msp_1976	0.0
1533	msp_1986	0.0
1534	msp_1988	0.0
1537	msp_2002	0.0
1538	msp_2004	0.0
1539	msp_2006	0.0
1540	msp_2012	0.0
1542	msp_2050	0.0
1662	msp_2283	0.0
1669	msp_2293	0.0
1948	msp_2875	0.0
1881	msp_2665	0.0
1832	msp_2561	0.0
1833	msp_2562	0.0
1920	msp_2824	0.0
1843	msp_2584	0.0
1848	msp_2591	0.0
1852	msp_2598	0.0
1865	msp_2628	0.0
1873	msp_2643	0.0
1911	msp_2784	0.0
1880	msp_2660	0.0
1884	msp_2671	0.0
1826	msp_2552	0.0
1889	msp_2684	0.0
1907	msp_2743	0.0
1891	msp_2691	0.0
1895	msp_2698	0.0
1897	msp_2705	0.0
1898	msp_2715	0.0
1900	msp_2719	0.0
1901	msp_2720	0.0
1902	msp_2723	0.0
1904	msp_2727	0.0
1827	msp_2554	0.0
1821	msp_2541	0.0
1947	msp_2874	0.0
1933	msp_2846	0.0
1694	msp_2334	0.0
1704	msp_2347	0.0
1708	msp_2355	0.0
1717	msp_2365	0.0
1718	msp_2366	0.0
1942	msp_2863	0.0
1726	msp_2377	0.0
1941	msp_2862	0.0
1939	msp_2858	0.0
1747	msp_2402	0.0
1760	msp_2426	0.0
1814	msp_2531	0.0
1763	msp_2430	0.0
1929	msp_2839	0.0
1927	msp_2837	0.0
1776	msp_2452	0.0
1926	msp_2832	0.0
1782	msp_2465	0.0
1788	msp_2481	0.0
1925	msp_2831	0.0
1794	msp_2493	0.0
1804	msp_2510	0.0
1499	msp_1920	0.0
1498	msp_1919	0.0
1496	msp_1914	0.0
1340	msp_1614	0.0
1293	msp_1540	0.0
1305	msp_1557	0.0
1307	msp_1559c	0.0
1310	msp_1565	0.0
1317	msp_1576	0.0
1318	msp_1578c	0.0
1332	msp_1604	0.0
1333	msp_1605	0.0
1335	msp_1607c	0.0
1339	msp_1611	0.0
1342	msp_1618	0.0
1290	msp_1535	0.0
1345	msp_1624	0.0
1346	msp_1627	0.0
1348	msp_1629	0.0
1350	msp_1634	0.0
1351	msp_1637	0.0
1356	msp_1646	0.0
1357	msp_1647	0.0
1358	msp_1648	0.0
1360	msp_1650	0.0
1363	msp_1654	0.0
1292	msp_1539	0.0
1286	msp_1529	0.0
1369	msp_1660	0.0
1237	msp_1455	0.0
1215	msp_1421	0.0
1217	msp_1424	0.0
1218	msp_1427	0.0
1221	msp_1434	0.0
1225	msp_1439	0.0
1226	msp_1440	0.0
1228	msp_1442	0.0
1232	msp_1449	0.0
1233	msp_1450	0.0
1235	msp_1452	0.0
1238	msp_1457	0.0
1285	msp_1528	0.0
1239	msp_1458	0.0
1241	msp_1460	0.0
1246	msp_1466	0.0
1253	msp_1474	0.0
